timestamp,node,partition,state,cpu_alloc,cpu_idle,cpu_other,cpu_total,cpu_used_pct,ram_used_bytes,ram_total_bytes,load1,load5,load15,uptime_seconds
2026-09-04T09:22:44-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58334453760,809615593472,52.33,53.13,53.51,1437573
2026-09-04T09:29:08-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,57771651072,809615593472,54.68,53.88,53.73,1437957
2026-09-04T09:50:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.4,58586411008,809615593472,55.61,54.18,54.02,1439209
2026-09-04T09:55:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57590669312,809615593472,56.45,54.70,54.24,1439509
2026-09-04T10:00:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,10.2,58414555136,809615593472,53.49,54.46,54.32,1439811
2026-09-04T10:05:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,58426523648,809615593472,55.87,54.95,54.55,1440111
2026-09-04T10:10:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57723613184,809615593472,54.91,54.60,54.47,1440411
2026-09-04T10:15:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58201292800,809615593472,56.41,54.58,54.40,1440712
2026-09-04T10:20:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,21,58146209792,809615593472,54.27,55.05,54.69,1441010
2026-09-04T10:25:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57954844672,809615593472,54.48,54.21,54.44,1441309
2026-09-04T10:30:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.4,58092548096,809615593472,51.58,53.28,54.02,1441610
2026-09-04T10:35:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.1,58499375104,809615593472,54.56,54.10,54.18,1441908
2026-09-04T10:40:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.1,58274963456,809615593472,53.41,53.14,53.68,1442208
2026-09-04T10:45:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.8,57851301888,809615593472,53.70,53.14,53.52,1442509
2026-09-04T10:50:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,57965928448,809615593472,52.89,53.13,53.42,1442812
2026-09-04T10:55:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58259214336,809615593472,55.36,53.45,53.38,1443110
2026-09-04T11:00:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58405167104,809615593472,52.37,53.54,53.48,1443409
2026-09-04T11:05:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.7,58384486400,809615593472,51.71,52.85,53.25,1443708
2026-09-04T11:10:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58004131840,809615593472,56.43,54.86,54.01,1444011
2026-09-04T11:15:02-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49.4,58164097024,809615593472,53.19,54.07,53.88,1444310
2026-09-04T11:20:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58168414208,809615593472,52.41,53.42,53.69,1444609
2026-09-04T11:25:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,48.9,58090946560,809615593472,54.16,54.60,54.18,1444909
2026-09-04T11:30:01-06:00,beagle-gpu-01,gpu_V100,mix,42,38,0,80,49,57805877248,809615593472,56.01,55.36,54.60,1445213
